15 Girls,1,UNION 15 Purple (PR) (1),g15union4pr
15 Girls,2,CVBC 15-2 (HO) (2),g15couvb5ho
15 Girls,3,NUF 15 Black (HO) (3),g15nufvb1ho
15 Girls,4,SEIVB 15 Thoman (HO) (4),g15seivb2ho
15 Girls,5,LCVC 15 Red (HO) (5),g15lcvbc1ho
15 Girls,6,LCVC 15 White (HO) (6),g15lcvbc2ho
15 Girls,7,BTownVBC 15 Black (HO) (7),g15blvbc2ho
15 Girls,8,Select 15 Regann (HO) (8),g15havoc3ho
15 Girls,9,Select - Ellie (HO) (9),g14havoc2ho
16 Girls,1,Circle City 16 Purple (HO) (1),g16ccity1ho
16 Girls,2,Circle City 15 Purple (HO) (2),g15ccity1ho
16 Girls,3,NKYVC 16-1 Tsunami (PR) (3),g16nkyvc1pr
16 Girls,4,PineappleHP 16-1 (HO) (4),g16phpvb1ho
16 Girls,5,UNION 16 UA Black (PR) (5),g16union1pr
16 Girls,6,Circle City 16 Black (HO) (6),g16ccity2ho
16 Girls,7,NKYVC 15-1 Tsunami (PR) (7),g15nkyvc1pr
16 Girls,8,UNION 15 UA Black (PR) (8),g15union1pr
16 Girls,9,NKYVC 16-2 Tide (PR) (9),g16nkyvc2pr
16 Girls,10,Metro VBC 16 Pink (HO) (10),g16metro1ho
16 Girls,11,Metro VBC 15 Pink (HO) (11),g15metro1ho
16 Girls,12,UNION 16 UA Green (PR) (12),g16union2pr
16 Girls,1,BTownVBC 16 Red (HO) (13),g16blvbc1ho
16 Girls,2,Circle City 16 White (HO) (14),g16ccity3ho
16 Girls,3,NCISVBC 16-1 (HO) (15),g16ncisv1ho
16 Girls,4,Pineapple 16 Black (HO) (16),g16tpine1ho
16 Girls,5,Circle City 15 Black (HO) (17),g15ccity2ho
16 Girls,6,Metro VBC 16 Black (HO) (18),g16metro2ho
16 Girls,7,NKYVC 15-2 Tide (PR) (19),g15nkyvc2pr
16 Girls,8,Metro VBC 15 Black (HO) (20),g15metro2ho
16 Girls,9,UNION 16 UA Blue (PR) (21),g16union3pr
16 Girls,10,Circle City 15 White (HO) (22),g15ccity3ho
16 Girls,11,NKYVC 15-3 Typhoon (PR) (23),g15nkyvc3pr
16 Girls,12,NKYVC 16-4 THUNDER (PR) (24),g16nkyvc4pr
16 Girls,13,Circle City 16 Volt (HO) (25),g16ccity4ho
16 Girls,14,NKYVC 16-3 Typhoon (PR) (26),g16nkyvc3pr
16 Girls,15,Pineapple 15 Black (HO) (27),g15tpine1ho
16 Girls,16,UNION 15 UA Green (PR) (28),g15union2pr
16 Girls,1,Circle City 15 Volt (HO) (29),g15ccity4ho
16 Girls,2,UNION 16 Purple (PR) (30),g16union4pr
16 Girls,3,NKYVC 15-4 Thunder (PR) (31),g15nkyvc4pr
16 Girls,4,Circle City 15 Pink (HO) (32),g15ccity5ho
16 Girls,5,CVBC 16-2 Blue (HO) (33),g16couvb2ho
16 Girls,6,BTownVBC 15 Red (HO) (34),g15blvbc1ho
16 Girls,7,Pineapple 15 Green (HO) (35),g15tpine2ho
16 Girls,8,NCISVBC 15-1 (HO) (36),g15ncisv1ho
16 Girls,9,UNION 15 UA Blue (PR) (37),g15union3pr
16 Girls,10,UNION 16 Gold (PR) (38),g16union5pr
16 Girls,11,LCVC 16 Red (HO) (40),g16lcvbc1ho
16 Girls,11,Tier10 16 Black (HO) (39),g16123461ho
16 Girls,13,BTownVBC 16 Black (HO) (41),g16blvbc2ho
16 Girls,13,NUF 16 Black (HO) (42),g16nufvb1ho
16 Girls,15,Liberty Belles 15/16 (HO) (43),g16libvb1ho
16 Girls,15,NCISVBC 16-2 (HO) (44),g16ncisv2ho
16 Girls,17,CAVA 16 (HO) (46),g16scava1ho
16 Girls,17,NUF 16 White (HO) (45),g16nufvb2ho
17/18 Girls,1,NKYVC 17-1 Tsunami (PR) (1),g17nkyvc1pr
17/18 Girls,2,Circle City 18 Purple (HO) (2),g18ccity1ho
17/18 Girls,3,NKYVC  18-1 Tsunami (PR) (3),g18nkyvc1pr
17/18 Girls,4,PineappleHP 17-1 (HO) (4),g17phpvb1ho
17/18 Girls,5,Circle City 17 Purple (HO) (5),g17ccity1ho
17/18 Girls,6,UNION 18 UA Black (PR) (6),g18union1pr
17/18 Girls,7,UNION 17 UA Black (PR) (7),g17union1pr
17/18 Girls,8,PineappleHP 18-1 (HO) (8),g18phpvb1ho
17/18 Girls,1,Circle City 18 Black (HO) (9),g18ccity2ho
17/18 Girls,2,NKYVC 17-2 Tide (PR) (10),g17nkyvc2pr
17/18 Girls,3,Circle City 17 Black (HO) (11),g17ccity2ho
17/18 Girls,4,Metro VBC 17 Pink (HO) (12),g17metro1ho
17/18 Girls,5,NKYVC 18-2 TIDE (PR) (13),g18nkyvc2pr
17/18 Girls,6,Metro VBC 18 Pink (HO) (14),g18metro1ho
17/18 Girls,7,Pineapple 17 Black (HO) (15),g17tpine1ho
17/18 Girls,8,Pineapple 18 Black (HO) (16),g18tpine1ho
17/18 Girls,9,NCISVBC 18-1 (HO) (17),g18ncisv1ho
17/18 Girls,10,Circle City 18 White (HO) (18),g18ccity3ho
17/18 Girls,11,GRV 18 Black (HO) (19),g18grbvc1ho
17/18 Girls,12,UNION 17 UA Green (PR) (20),g17union2pr
17/18 Girls,1,Circle City 17 White (HO) (21),g17ccity3ho
17/18 Girls,2,UNION 18 Purple (PR) (22),g18union2pr
17/18 Girls,3,GRV 17 Black (HO) (23),g17grbvc1ho
17/18 Girls,4,NCISVBC 17-1 (HO) (24),g17ncisv1ho
17/18 Girls,5,NKYVC 17-3 Typhoon (PR) (25),g17nkyvc3pr
17/18 Girls,6,BTownVBC 18 Red (HO) (26),g18blvbc1ho
17/18 Girls,7,Metro VBC 17 Black (HO) (27),g17metro2ho
17/18 Girls,8,BTownVBC 17 Red (HO) (28),g17blvbc1ho
17/18 Girls,1,NKYVC 17-4 Thunder (PR) (29),g17nkyvc4pr
17/18 Girls,2,UNION 17 Purple (PR) (30),g17union3pr
17/18 Girls,3,UNION 17 Gold (PR) (31),g17union4pr
17/18 Girls,4,CAVA 18-1 (HO) (32),g18scava1ho
17/18 Girls,5,NUF 18 Black (HO) (33),g18nufvb1ho
17/18 Girls,6,Select 17 (HO) (34),g17havoc1ho
17/18 Girls,7,LCVC 17 Red (HO) (35),g17lcvbc1ho
17/18 Girls,8,NUF 18 White (HO) (36),g18nufvb2ho
17/18 Girls,9,Court Royals 17 Blue (HO) (37),g17crjvc1ho
17/18 Girls,10,SEIVB 17 Meyer (HO) (38),g17seivb2ho
17/18 Girls,11,CAVA 18-2 (HO) (39),g18scava2ho
17/18 Girls,12,CRVBC 17 (HO) (40),g17crvbc1ho
